lat,lon,population
-23.37916667,-46.44583333,4897
-23.37916667,-46.4375,83
-23.37916667,-46.42916667,72
-23.37916667,-46.42083333,15
-23.37916667,-46.4125,14
-23.37916667,-46.40416667,745
-23.37916667,-46.39583333,300
-23.37916667,-46.3875,30
-23.37916667,-46.37916667,44
-23.37916667,-46.37083333,59
-23.37916667,-46.3625,70
-23.37916667,-46.35416667,8
-23.37916667,-46.34583333,25
-23.37916667,-46.3375,414
-23.37916667,-46.32916667,4113
-23.37916667,-46.32083333,5231
-23.37916667,-46.3125,814
-23.37916667,-46.30416667,1148
-23.37916667,-46.29583333,825
-23.37916667,-46.2875,167
-23.37916667,-46.27916667,25
-23.37916667,-46.27083333,22
-23.37916667,-46.2625,22
-23.37916667,-46.25416667,17
-23.37916667,-46.24583333,43
-23.37916667,-46.2375,181
-23.37916667,-46.22916667,54
-23.37916667,-46.22083333,4
-23.37916667,-46.2125,4
-23.37916667,-46.20416667,9
-23.37916667,-46.19583333,20
-23.37916667,-46.1875,10
-23.37916667,-46.17916667,46
-23.37916667,-46.17083333,38
-23.37916667,-46.1625,48
-23.37916667,-46.15416667,82
-23.37916667,-46.14583333,33
-23.37916667,-46.1375,9
-23.37916667,-46.12916667,109
-23.37916667,-46.12083333,246
-23.37916667,-46.1125,65
-23.3875,-46.97916667,15
-23.3875,-46.97083333,7
-23.3875,-46.9625,10
-23.3875,-46.95416667,2
-23.3875,-46.94583333,10
-23.3875,-46.9375,8
-23.3875,-46.92916667,20
-23.3875,-46.92083333,17
-23.3875,-46.9125,93
-23.3875,-46.90416667,840
-23.3875,-46.89583333,38
-23.3875,-46.8875,25
-23.3875,-46.87916667,22
-23.3875,-46.87083333,198
-23.3875,-46.8625,976
-23.3875,-46.85416667,254
-23.3875,-46.84583333,226
-23.3875,-46.8375,339
-23.3875,-46.82916667,148
-23.3875,-46.82083333,7
-23.3875,-46.8125,5
-23.3875,-46.80416667,4
-23.3875,-46.79583333,4
-23.3875,-46.7875,0
-23.3875,-46.77916667,12
-23.3875,-46.77083333,11
-23.3875,-46.7625,0
-23.3875,-46.75416667,526
-23.3875,-46.74583333,467
-23.3875,-46.7375,4189
-23.3875,-46.72916667,1444
-23.3875,-46.72083333,924
-23.3875,-46.7125,3950
-23.3875,-46.70416667,438
-23.3875,-46.69583333,389
-23.3875,-46.6875,292
-23.3875,-46.67916667,178
-23.3875,-46.67083333,276
-23.3875,-46.6625,67
-23.3875,-46.65416667,49
-23.3875,-46.64583333,133
-23.3875,-46.6375,102
-23.3875,-46.62916667,109
-23.3875,-46.62083333,146
-23.3875,-46.6125,69
-23.3875,-46.60416667,69
-23.3875,-46.59583333,132
-23.3875,-46.5875,24
-23.3875,-46.57916667,24
-23.3875,-46.57083333,2
