lat,lon,population
37.8125,-122.4291667,21
37.8125,-122.4208333,76
37.8125,-122.4125,221
37.8125,-122.4041667,2
37.80416667,-122.4791667,116
37.80416667,-122.4708333,520
37.80416667,-122.4625,205
37.80416667,-122.4541667,848
37.80416667,-122.4458333,3122
37.80416667,-122.4375,5134
37.80416667,-122.4291667,3618
37.80416667,-122.4208333,8331
37.80416667,-122.4125,11287
37.80416667,-122.4041667,7432
37.80416667,-122.3958333,160
37.79583333,-122.4791667,609
37.79583333,-122.4708333,244
37.79583333,-122.4625,224
37.79583333,-122.4541667,835
37.79583333,-122.4458333,3002
37.79583333,-122.4375,6830
37.79583333,-122.4291667,7985
37.79583333,-122.4208333,12063
37.79583333,-122.4125,13303
37.79583333,-122.4041667,27943
37.79583333,-122.3958333,20724
37.79583333,-122.3875,12
37.79583333,-122.3791667,2
37.7875,-122.5125,4
37.7875,-122.5041667,70
37.7875,-122.4958333,488
37.7875,-122.4875,2319
37.7875,-122.4791667,2817
37.7875,-122.4708333,2480
37.7875,-122.4625,3952
37.7875,-122.4541667,6919
37.7875,-122.4458333,6212
37.7875,-122.4375,8012
37.7875,-122.4291667,9604
37.7875,-122.4208333,16048
37.7875,-122.4125,29759
37.7875,-122.4041667,36331
37.7875,-122.3958333,34233
37.7875,-122.3875,4864
37.77916667,-122.5125,500
37.77916667,-122.5041667,3781
37.77916667,-122.4958333,5487
37.77916667,-122.4875,6788
37.77916667,-122.4791667,6414
37.77916667,-122.4708333,5622
37.77916667,-122.4625,9503
37.77916667,-122.4541667,6695
37.77916667,-122.4458333,9547
37.77916667,-122.4375,7623
37.77916667,-122.4291667,9095
37.77916667,-122.4208333,15280
37.77916667,-122.4125,18138
37.77916667,-122.4041667,11435
37.77916667,-122.3958333,11088
37.77916667,-122.3875,3821
37.77083333,-122.5125,897
37.77083333,-122.5041667,1897
37.77083333,-122.4958333,1528
37.77083333,-122.4875,1681
37.77083333,-122.4791667,1453
37.77083333,-122.4708333,1447
37.77083333,-122.4625,1063
37.77083333,-122.4541667,5581
37.77083333,-122.4458333,8856
37.77083333,-122.4375,6074
37.77083333,-122.4291667,8188
37.77083333,-122.4208333,10262
37.77083333,-122.4125,6550
37.77083333,-122.4041667,5806
37.77083333,-122.3958333,2362
37.77083333,-122.3875,1919
37.77083333,-122.3791667,1
37.7625,-122.5125,642
37.7625,-122.5041667,3820
37.7625,-122.4958333,3096
37.7625,-122.4875,3795
37.7625,-122.4791667,5481
37.7625,-122.4708333,5533
37.7625,-122.4625,9178
37.7625,-122.4541667,6642
37.7625,-122.4458333,4302
37.7625,-122.4375,5579
37.7625,-122.4291667,6943
37.7625,-122.4208333,11161
37.7625,-122.4125,5984
37.7625,-122.4041667,4703
37.7625,-122.3958333,3858
37.7625,-122.3875,2094
37.7625,-122.3791667,23
37.75416667,-122.5125,207
37.75416667,-122.5041667,4475
37.75416667,-122.4958333,3886
37.75416667,-122.4875,4094
37.75416667,-122.4791667,4766
37.75416667,-122.4708333,2850
37.75416667,-122.4625,2098
37.75416667,-122.4541667,1747
37.75416667,-122.4458333,2941
37.75416667,-122.4375,5046
37.75416667,-122.4291667,5198
37.75416667,-122.4208333,9398
37.75416667,-122.4125,9300
37.75416667,-122.4041667,5191
37.75416667,-122.3958333,3136
37.75416667,-122.3875,1842
37.75416667,-122.3791667,49
37.74583333,-122.5125,8
37.74583333,-122.5041667,3894
37.74583333,-122.4958333,3911
37.74583333,-122.4875,4145
37.74583333,-122.4791667,5155
37.74583333,-122.4708333,3930
37.74583333,-122.4625,2486
37.74583333,-122.4541667,3217
37.74583333,-122.4458333,2515
37.74583333,-122.4375,2960
37.74583333,-122.4291667,5258
37.74583333,-122.4208333,8035
37.74583333,-122.4125,5745
37.74583333,-122.4041667,2578
37.74583333,-122.3958333,1961
37.74583333,-122.3875,3173
37.74583333,-122.3791667,218
37.74583333,-122.3708333,0
37.7375,-122.5125,1
37.7375,-122.5041667,2729
37.7375,-122.4958333,3571
37.7375,-122.4875,2893
37.7375,-122.4791667,2454
37.7375,-122.4708333,3569
37.7375,-122.4625,3600
37.7375,-122.4541667,1999
37.7375,-122.4458333,2175
37.7375,-122.4375,2752
37.7375,-122.4291667,4098
37.7375,-122.4208333,4831
37.7375,-122.4125,4748
37.7375,-122.4041667,3126
37.7375,-122.3958333,4182
37.7375,-122.3875,4047
37.7375,-122.3791667,1827
37.7375,-122.3708333,95
37.72916667,-122.5041667,317
37.72916667,-122.4958333,779
37.72916667,-122.4875,1576
37.72916667,-122.4791667,4363
37.72916667,-122.4708333,2543
37.72916667,-122.4625,3366
37.72916667,-122.4541667,4040
37.72916667,-122.4458333,4959
37.72916667,-122.4375,4505
37.72916667,-122.4291667,5332
37.72916667,-122.4208333,4693
37.72916667,-122.4125,3920
37.72916667,-122.4041667,5829
37.72916667,-122.3958333,3981
37.72916667,-122.3875,4168
37.72916667,-122.3791667,3004
37.72916667,-122.3708333,664
37.72916667,-122.3625,33
37.72916667,-122.3541667,5
37.72083333,-122.5041667,31
37.72083333,-122.4958333,97
37.72083333,-122.4875,954
37.72083333,-122.4791667,16001
37.72083333,-122.4708333,2792
37.72083333,-122.4625,4505
37.72083333,-122.4541667,6338
37.72083333,-122.4458333,4953
37.72083333,-122.4375,6892
37.72083333,-122.4291667,5870
37.72083333,-122.4208333,814
37.72083333,-122.4125,1335
37.72083333,-122.4041667,5076
37.72083333,-122.3958333,3886
37.72083333,-122.3875,2235
37.72083333,-122.3791667,44
37.72083333,-122.3708333,69
37.72083333,-122.3625,36
37.7125,-122.5041667,23
37.7125,-122.4958333,759
37.7125,-122.4875,273
37.7125,-122.4791667,1397
37.7125,-122.4708333,3808
37.7125,-122.4625,4315
37.7125,-122.4541667,4485
37.7125,-122.4458333,6587
37.7125,-122.4375,6118
37.7125,-122.4291667,2463
37.7125,-122.4208333,3045
37.7125,-122.4125,5615
37.7125,-122.4041667,4239
37.7125,-122.3958333,1847
37.7125,-122.3875,382
37.7125,-122.3791667,39
37.7125,-122.3708333,0
37.7125,-122.3625,8
37.70416667,-122.4958333,489
37.70416667,-122.4875,1646
37.70416667,-122.4791667,2158
37.70416667,-122.4708333,2499
37.70416667,-122.4625,5046
37.70416667,-122.4541667,4442
37.70416667,-122.4458333,2436
37.70416667,-122.4375,1339
37.70416667,-122.4291667,977
37.70416667,-122.4208333,1777
37.70416667,-122.4125,2208
37.70416667,-122.4041667,201
37.70416667,-122.3958333,73
37.69583333,-122.4958333,1054
37.69583333,-122.4875,3272
37.69583333,-122.4791667,3197
37.69583333,-122.4708333,2965
37.69583333,-122.4625,5572
37.69583333,-122.4541667,1373
37.69583333,-122.4458333,5
37.69583333,-122.4375,7
37.69583333,-122.4291667,8
37.69583333,-122.4208333,557
37.69583333,-122.4125,411
37.69583333,-122.4041667,220
37.69583333,-122.3958333,24
37.69583333,-122.3875,3
37.6875,-122.4958333,1143
37.6875,-122.4875,3490
37.6875,-122.4791667,2465
37.6875,-122.4708333,2399
37.6875,-122.4625,4055
37.6875,-122.4541667,2082
37.6875,-122.4458333,372
37.6875,-122.4375,4
37.6875,-122.4291667,1
37.6875,-122.4208333,377
37.6875,-122.4125,1193
37.6875,-122.4041667,1316
37.6875,-122.3958333,131
37.6875,-122.3875,9
37.67916667,-122.4958333,380
37.67916667,-122.4875,3217
37.67916667,-122.4791667,3318
37.67916667,-122.4708333,2421
37.67916667,-122.4625,391
37.67916667,-122.4541667,97
37.67916667,-122.4458333,22
37.67916667,-122.4375,6
37.67916667,-122.4291667,1
37.67916667,-122.4208333,3
37.67916667,-122.4125,4
37.67916667,-122.4041667,1168
37.67916667,-122.3958333,819
37.67916667,-122.3875,31
37.67916667,-122.3791667,4
37.67083333,-122.4958333,17
37.67083333,-122.4875,1838
37.67083333,-122.4791667,3278
37.67083333,-122.4708333,1471
37.67083333,-122.4625,1449
37.67083333,-122.4541667,1240
37.67083333,-122.4458333,211
37.67083333,-122.4375,792
37.67083333,-122.4291667,405
37.67083333,-122.4208333,1062
37.67083333,-122.4125,816
37.67083333,-122.4041667,22
37.67083333,-122.3958333,31
37.67083333,-122.3875,1748
37.67083333,-122.3791667,13
37.6625,-122.4958333,161
37.6625,-122.4875,2149
37.6625,-122.4791667,2341
37.6625,-122.4708333,3006
37.6625,-122.4625,2259
37.6625,-122.4541667,2305
37.6625,-122.4458333,1920
37.6625,-122.4375,4045
37.6625,-122.4291667,3070
37.6625,-122.4208333,1334
37.6625,-122.4125,2763
37.6625,-122.4041667,3224
37.6625,-122.3958333,1748
37.6625,-122.3875,503
37.6625,-122.3791667,113
37.6625,-122.3708333,0
37.6625,-122.1625,6
37.6625,-122.1541667,49
37.6625,-122.1458333,97
37.6625,-122.1375,1034
37.65416667,-122.4958333,624
37.65416667,-122.4875,1800
37.65416667,-122.4791667,2188
37.65416667,-122.4708333,2681
37.65416667,-122.4625,3196
37.65416667,-122.4541667,1721
37.65416667,-122.4458333,2017
37.65416667,-122.4375,1718
37.65416667,-122.4291667,2600
37.65416667,-122.4208333,3607
37.65416667,-122.4125,3611
37.65416667,-122.4041667,900
37.65416667,-122.3958333,1253
37.65416667,-122.3875,4271
37.65416667,-122.3791667,146
37.65416667,-122.1541667,26
37.65416667,-122.1458333,87
37.65416667,-122.1375,847
37.65416667,-122.1291667,1311
37.65416667,-122.1208333,724
37.65416667,-122.1125,1123
37.65416667,-122.1041667,1993
37.65416667,-122.0958333,2778
37.65416667,-122.0875,2759
37.65416667,-122.0791667,2683
37.65416667,-122.0708333,2085
37.65416667,-122.0625,849
37.64583333,-122.4958333,331
37.64583333,-122.4875,1266
37.64583333,-122.4791667,866
37.64583333,-122.4708333,1996
37.64583333,-122.4625,3334
37.64583333,-122.4541667,2668
37.64583333,-122.4458333,668
37.64583333,-122.4375,870
37.64583333,-122.4291667,3173
37.64583333,-122.4208333,1288
37.64583333,-122.4125,1433
37.64583333,-122.4041667,484
37.64583333,-122.3958333,857
37.64583333,-122.3875,92
37.64583333,-122.3791667,18
37.64583333,-122.1541667,15
37.64583333,-122.1458333,116
37.64583333,-122.1375,1061
37.64583333,-122.1291667,1221
37.64583333,-122.1208333,1473
37.64583333,-122.1125,1602
37.64583333,-122.1041667,2325
37.64583333,-122.0958333,1402
37.64583333,-122.0875,2411
37.64583333,-122.0791667,3513
37.64583333,-122.0708333,2346
37.64583333,-122.0625,1933
37.64583333,-122.0541667,251
37.64583333,-122.0458333,37
37.64583333,-122.0375,456
37.64583333,-122.0291667,201
37.64583333,-122.0208333,83
37.64583333,-122.0125,5
37.64583333,-122.0041667,0
37.64583333,-121.9958333,0
37.6375,-122.4958333,810
37.6375,-122.4875,1423
37.6375,-122.4791667,195
37.6375,-122.4708333,710
37.6375,-122.4625,1782
37.6375,-122.4541667,2239
37.6375,-122.4458333,1568
37.6375,-122.4375,1106
37.6375,-122.4291667,1191
37.6375,-122.4208333,1647
37.6375,-122.4125,2149
37.6375,-122.4041667,369
37.6375,-122.3958333,2571
37.6375,-122.3875,91
37.6375,-122.3791667,2
37.6375,-122.1458333,23
37.6375,-122.1375,332
37.6375,-122.1291667,626
37.6375,-122.1208333,1486
37.6375,-122.1125,3026
37.6375,-122.1041667,2872
37.6375,-122.0958333,2171
37.6375,-122.0875,2264
37.6375,-122.0791667,3585
37.6375,-122.0708333,4016
37.6375,-122.0625,2467
37.6375,-122.0541667,1449
37.6375,-122.0458333,181
37.6375,-122.0375,8
37.6375,-122.0291667,11
37.6375,-122.0208333,5
37.6375,-122.0125,1
37.6375,-122.0041667,0
37.6375,-121.9958333,0
37.6375,-121.9875,0
