pixel_ID,lat,lon,utm_n,utm_e,population
0,36.60832971,-122.7889271,4051445.282,518876.3333,0
1,36.60830938,-122.7777453,4051445.282,519876.3333,0
2,36.60828801,-122.7665635,4051445.282,520876.3333,0
3,36.60826558,-122.7553818,4051445.282,521876.3333,0
4,36.6082421,-122.7442,4051445.282,522876.3333,0
5,36.60821758,-122.7330182,4051445.282,523876.3333,0
6,36.608192,-122.7218365,4051445.282,524876.3333,0
7,36.60816538,-122.7106548,4051445.282,525876.3333,0
8,36.6081377,-122.6994731,4051445.282,526876.3333,0
9,36.60810898,-122.6882914,4051445.282,527876.3333,0
10,36.60807921,-122.6771097,4051445.282,528876.3333,0
11,36.60804839,-122.665928,4051445.282,529876.3333,0
12,36.60801652,-122.6547464,4051445.282,530876.3333,0
13,36.6079836,-122.6435647,4051445.282,531876.3333,0
14,36.60794963,-122.6323831,4051445.282,532876.3333,0
15,36.60791461,-122.6212015,4051445.282,533876.3333,0
16,36.60787855,-122.61002,4051445.282,534876.3333,0
17,36.60784143,-122.5988384,4051445.282,535876.3333,0
18,36.60780327,-122.5876569,4051445.282,536876.3333,0
19,36.60776405,-122.5764754,4051445.282,537876.3333,0
20,36.60772379,-122.5652939,4051445.282,538876.3333,0
21,36.60768248,-122.5541124,4051445.282,539876.3333,0
22,36.60764012,-122.542931,4051445.282,540876.3333,0
23,36.60759671,-122.5317496,4051445.282,541876.3333,0
24,36.60755225,-122.5205682,4051445.282,542876.3333,0
25,36.60750674,-122.5093868,4051445.282,543876.3333,0
26,36.60746018,-122.4982055,4051445.282,544876.3333,0
27,36.60741258,-122.4870241,4051445.282,545876.3333,0
28,36.60736392,-122.4758429,4051445.282,546876.3333,0
29,36.60731422,-122.4646616,4051445.282,547876.3333,0
30,36.60726346,-122.4534804,4051445.282,548876.3333,0
31,36.60721166,-122.4422991,4051445.282,549876.3333,0
32,36.60715881,-122.431118,4051445.282,550876.3333,0
33,36.60710491,-122.4199368,4051445.282,551876.3333,0
34,36.60704996,-122.4087557,4051445.282,552876.3333,0
35,36.60699396,-122.3975746,4051445.282,553876.3333,0
36,36.60693692,-122.3863935,4051445.282,554876.3333,0
37,36.60687882,-122.3752125,4051445.282,555876.3333,0
38,36.60681968,-122.3640315,4051445.282,556876.3333,0
39,36.60675948,-122.3528506,4051445.282,557876.3333,0
40,36.60669824,-122.3416696,4051445.282,558876.3333,0
41,36.60663595,-122.3304887,4051445.282,559876.3333,0
42,36.60657261,-122.3193079,4051445.282,560876.3333,0
43,36.60650822,-122.3081271,4051445.282,561876.3333,0
44,36.60644278,-122.2969463,4051445.282,562876.3333,0
45,36.60637629,-122.2857655,4051445.282,563876.3333,0
46,36.60630876,-122.2745848,4051445.282,564876.3333,0
47,36.60624017,-122.2634041,4051445.282,565876.3333,0
48,36.60617054,-122.2522235,4051445.282,566876.3333,0
49,36.60609986,-122.2410429,4051445.282,567876.3333,0
50,36.60602812,-122.2298623,4051445.282,568876.3333,0
51,36.60595534,-122.2186818,4051445.282,569876.3333,0
52,36.60588152,-122.2075013,4051445.282,570876.3333,0
