pixel_ID,lat,lon,utm_n,utm_e,population,active
0,-23.92464582,-47.06605976,7352578.114,289706.0268,0,Y
1,-23.92477757,-47.05624006,7352578.114,290706.0268,0,N
2,-23.92490869,-47.0464203,7352578.114,291706.0268,0,N
3,-23.92503918,-47.03660046,7352578.114,292706.0268,0,N
4,-23.92516904,-47.02678055,7352578.114,293706.0268,0,N
5,-23.92529828,-47.01696057,7352578.114,294706.0268,0,N
6,-23.92542688,-47.00714052,7352578.114,295706.0268,0,Y
7,-23.92555487,-46.99732041,7352578.114,296706.0268,0,N
8,-23.92568222,-46.98750022,7352578.114,297706.0268,0,N
9,-23.92580895,-46.97767997,7352578.114,298706.0268,0,N
10,-23.92593506,-46.96785965,7352578.114,299706.0268,0,N
11,-23.92606053,-46.95803926,7352578.114,300706.0268,0,N
12,-23.92618538,-46.94821881,7352578.114,301706.0268,0,N
13,-23.9263096,-46.93839829,7352578.114,302706.0268,0,N
14,-23.9264332,-46.9285777,7352578.114,303706.0268,0,N
15,-23.92655616,-46.91875705,7352578.114,304706.0268,0,N
16,-23.9266785,-46.90893633,7352578.114,305706.0268,0,N
17,-23.92680022,-46.89911554,7352578.114,306706.0268,0,N
18,-23.92692131,-46.88929469,7352578.114,307706.0268,0,N
19,-23.92704177,-46.87947378,7352578.114,308706.0268,0,N
20,-23.9271616,-46.8696528,7352578.114,309706.0268,0,N
21,-23.9272808,-46.85983175,7352578.114,310706.0268,0,N
22,-23.92739938,-46.85001065,7352578.114,311706.0268,0,N
23,-23.92751733,-46.84018948,7352578.114,312706.0268,0,N
24,-23.92763466,-46.83036824,7352578.114,313706.0268,0,N
25,-23.92775136,-46.82054695,7352578.114,314706.0268,0,N
26,-23.92786743,-46.81072559,7352578.114,315706.0268,0,N
27,-23.92798287,-46.80090417,7352578.114,316706.0268,0,N
28,-23.92809769,-46.79108269,7352578.114,317706.0268,0,N
29,-23.92821187,-46.78126114,7352578.114,318706.0268,0,N
30,-23.92832544,-46.77143954,7352578.114,319706.0268,0,N
31,-23.92843837,-46.76161787,7352578.114,320706.0268,0,N
32,-23.92855068,-46.75179615,7352578.114,321706.0268,0,N
33,-23.92866236,-46.74197436,7352578.114,322706.0268,0,N
34,-23.92877341,-46.73215252,7352578.114,323706.0268,0,N
35,-23.92888384,-46.72233061,7352578.114,324706.0268,0,N
36,-23.92899363,-46.71250865,7352578.114,325706.0268,0,N
37,-23.92910281,-46.70268663,7352578.114,326706.0268,0,N
38,-23.92921135,-46.69286455,7352578.114,327706.0268,0,N
39,-23.92931927,-46.68304241,7352578.114,328706.0268,0,N
40,-23.92942655,-46.67322021,7352578.114,329706.0268,0,N
41,-23.92953322,-46.66339796,7352578.114,330706.0268,0,N
