pixel_ID,lat,lon,population,cf,dir_ratio,cf_category
9730,37.20703721,-121.8631835,1081,2.098696304,1.293082213,2
9731,37.20692854,-121.8519162,1868,1.910830113,1.215060322,2
9732,37.20681878,-121.8406489,1549,3.070609085,1.464228135,4
9873,37.21615719,-121.874317,1126,2.095482602,1.064865787,2
9874,37.21604954,-121.8630483,1649,2.022862869,1.056251977,2
9875,37.21594083,-121.8517796,2096,2.280078703,1.17108866,2
9876,37.21583104,-121.840511,1587,3.854280435,1.011326734,4
10007,37.22618734,-121.9868872,2785,1.908847613,1.155417713,1
10008,37.22609038,-121.9756166,2280,2.708397616,1.206394529,3
10009,37.22599236,-121.964346,1022,2.139698127,1.056141399,2
10014,37.22548613,-121.9079937,1256,3.068686378,1.095171386,4
10015,37.22538167,-121.8967235,1108,2.043010962,1.242329761,2
10016,37.22527614,-121.8854533,2066,2.090831846,1.212795609,2
10017,37.22516953,-121.8741831,2227,2.070974795,1.332056661,2
10018,37.22506186,-121.862913,2213,2.846562964,1.101799795,3
10019,37.22495311,-121.851643,1364,2.108105547,1.006623263,2
10025,37.22427809,-121.784024,1492,1.855006429,1.079588804,1
10026,37.22416184,-121.7727544,1839,2.454204741,1.322143816,3
10151,37.23520001,-121.9867666,2055,2.829418796,1.249571693,3
10152,37.23510302,-121.9754946,2374,2.275867645,1.120963542,2
10153,37.23500496,-121.9642227,2233,2.415884912,1.176807017,3
10154,37.23490583,-121.9529508,1060,2.049746023,1.152469493,2
10157,37.23460199,-121.9191354,1267,1.501387432,1.045160463,1
10158,37.23449857,-121.9078637,2113,1.794860177,1.107663556,1
10159,37.23439408,-121.8965921,2059,3.913837067,1.312011231,4
10160,37.23428851,-121.8853206,1746,2.209432839,1.183493421,2
10161,37.23418187,-121.8740491,1784,2.565911242,1.39850215,3
10164,37.23385551,-121.840235,1817,1.743021847,1.177114036,1
10165,37.23374458,-121.8289637,2144,2.187759908,1.25618249,2
10166,37.23363258,-121.8176925,2160,2.000476611,1.242441021,2
10167,37.23351951,-121.8064214,3425,1.890710833,1.270701819,1
10168,37.23340536,-121.7951503,2499,1.93279813,1.172886722,2
10169,37.23329014,-121.7838793,2575,2.256953484,1.455532716,2
10170,37.23317385,-121.7726084,2575,3.081556464,1.503571874,4
10171,37.23305648,-121.7613375,1213,5.692652743,1.461243891,4
10295,37.24421266,-121.986646,1110,3.044607146,1.003176788,4
10296,37.24411564,-121.9753726,1740,2.349935778,1.068559432,3
10297,37.24401755,-121.9640993,2347,4.554888055,1.171076191,4
10298,37.24391838,-121.9528261,2217,1.799475834,1.188766169,1
10299,37.24381814,-121.9415529,1829,2.35507342,1.005185763,3
10300,37.24371683,-121.9302798,2040,1.657149962,1.032524805,1
10301,37.24361445,-121.9190067,2489,1.818916107,1.050291118,1
10302,37.243511,-121.9077337,2964,2.014428851,1.249594358,2
10303,37.24340647,-121.8964607,2191,1.734298808,1.079572088,1
10304,37.24330086,-121.8851878,2114,2.152421903,1.203675572,2
10305,37.24319419,-121.873915,1792,2.725298774,1.648874771,3
10306,37.24308644,-121.8626422,2172,2.207206351,1.369728988,2
