pixel_ID,lat,lon,orders_total,cf,dir_ratio,cf_category
0,-23.92464582,-47.06605976,146,2.640165785,1.005231894,3
6,-23.92542688,-47.00714052,95,1.371078732,1,1
108,-23.9166553,-46.98736205,62,1.532383892,1.136569632,1
210,-23.90788099,-46.9675861,58,3.292540589,1,4
308,-23.89860142,-46.98708591,93,2.677604529,1.974382674,3
509,-23.88067396,-46.9769932,62,2.042280024,1,2
528,-23.88295785,-46.79046062,54,1.945063529,1.003971253,1
533,-23.88352133,-46.74136933,135,1.77971871,1,1
543,-23.88460134,-46.64318233,654,1.916686893,1,1
633,-23.87449309,-46.74124851,240,3.059706053,1,3
641,-23.87536173,-46.66270481,193,1.978081465,1.001679838,1
642,-23.8754675,-46.65288658,119,2.174398764,1.000406937,2
643,-23.87557264,-46.64306831,155,1.888296517,1.00017568,1
730,-23.86512891,-46.77057862,67,1.898337814,1.00398283,1
732,-23.86535349,-46.75094476,212,2.722698431,1.776931521,3
736,-23.86579513,-46.71167633,301,1.203485707,1.002980642,1
739,-23.8661198,-46.68222439,92,3.155789843,1,4
740,-23.86622677,-46.67240697,72,2.586106556,1,3
741,-23.86633311,-46.66258948,54,2.110018592,1,2
811,-23.85384356,-46.95695213,100,1.957505025,1,1
812,-23.85396798,-46.94713712,543,2.033665364,1.324231782,1
813,-23.85409178,-46.93732204,678,2.405071347,2.750885199,2
831,-23.85621335,-46.76063965,97,1.793476619,1.008774979,1
836,-23.85676673,-46.71155766,1359,1.832651528,1.030508982,1
837,-23.85687553,-46.70174109,1013,3.200060315,1.003399721,4
838,-23.85698371,-46.69192446,104,1.998850513,1.002923645,1
929,-23.84695953,-46.78014866,109,2.068763466,1.000432764,2
933,-23.8474083,-46.74088639,70,2.589385914,1.003623382,3
934,-23.84751893,-46.73107067,107,1.50676814,1,1
936,-23.84773832,-46.71143906,599,1.783416537,1.023574708,1
937,-23.84784707,-46.70162316,453,1.895480013,1.007292196,1
938,-23.8479552,-46.69180721,123,4.308779436,1.011245057,4
948,-23.84900213,-46.59364455,60,2.073013,1.00027963,2
1025,-23.83747287,-46.81928395,71,2.645069134,1.623016596,3
1033,-23.83838002,-46.7407658,233,4.921440262,1.000625923,4
1034,-23.8384906,-46.73095076,242,2.746424713,1.040828082,3
1126,-23.82856049,-46.80934411,241,2.121498781,1.114133575,2
1133,-23.82935172,-46.74064527,261,2.498367175,1.063531649,3
1134,-23.82946226,-46.73083091,900,2.54581415,1.437079481,3
1135,-23.82957217,-46.72101649,961,2.125876371,1.067016552,2
1136,-23.82968146,-46.71120201,314,2.189716307,1.002619704,2
1150,-23.83114591,-46.57379333,314,3.124058544,1,4
1214,-23.81810557,-46.92697309,121,2.483567282,1.187692793,3
1234,-23.8204339,-46.73071112,413,3.113414543,1.469943244,4
1235,-23.82054377,-46.72089738,112,2.958765001,1.002259398,3
1236,-23.82065301,-46.71108358,177,2.626345539,1.001635089,3
1237,-23.82076163,-46.70126972,252,2.052478696,1.002048135,2
1240,-23.82108373,-46.6718278,74,1.874929404,1.000258266,1
1330,-23.81096003,-46.76984305,133,2.697040595,1,3
1333,-23.8112951,-46.7404044,905,2.312596901,1.033538303,2
1334,-23.81140554,-46.73059139,74,3.000914923,1.099536686,3
1431,-23.80204411,-46.75990852,494,3.030783522,1.001163079,3
1433,-23.80226677,-46.74028405,141,3.469753184,1.26059679,4
1434,-23.80237716,-46.73047172,104,2.743666745,1.966530864,3
1454,-23.8044541,-46.53421323,71,2.958956518,1.000030083,3
1515,-23.7911456,-46.91676296,154,6.781004124,1.29132509,4
1533,-23.79323843,-46.74016376,346,2.526312672,1.000121012,3
1534,-23.79334878,-46.73035211,267,3.203942006,2.322928991,4
1535,-23.7934585,-46.7205404,64,2.092899002,1.003186721,2
1539,-23.79389117,-46.68129299,70,3.78450882,1,4
1553,-23.79532695,-46.54391994,363,3.459009287,2.000188682,4
1554,-23.79542483,-46.53410717,311,2.130992777,1.000053594,2
1562,-23.79618542,-46.45560317,74,1.47629424,1,1
1631,-23.78398761,-46.75966529,52,1.564567852,1.00065189,1
1634,-23.78432038,-46.73023256,100,3.624507817,1.39685877,4
1635,-23.78443006,-46.72042153,112,4.840611897,1.19219054,4
1636,-23.78453911,-46.71061044,157,4.461202808,1.00335317,4
1638,-23.78475535,-46.69098808,506,2.20056119,1.311412173,2
1639,-23.78486254,-46.68117682,955,2.304546199,1.014076365,2
1653,-23.78629771,-46.54381325,74,5.253676506,1.001212549,4
1654,-23.78639555,-46.53400116,288,1.923352153,1.039432762,1
1655,-23.78649276,-46.52418902,150,3.161193119,1.144321125,4
1727,-23.77450711,-46.79878387,60,3.646990645,1.002250976,4
1734,-23.77529197,-46.73011306,73,3.986446229,1.151888532,4
1735,-23.7754016,-46.72030271,791,2.595772687,1.937109398,3
1736,-23.77551061,-46.7104923,604,3.176704663,1.000172506,4
1737,-23.77561899,-46.70068183,1126,2.049477808,1.340442392,2
1738,-23.77572676,-46.6908713,920,2.180371675,1.011026174,2
1739,-23.7758339,-46.68106071,584,2.174430354,1.005657132,2
1740,-23.77594042,-46.67125007,53,4.704327902,1.000072375,4
1746,-23.77656644,-46.61238501,582,1.664187758,1.274153878,1
1747,-23.7766686,-46.60257398,694,1.958307008,1.029092022,1
1748,-23.77677013,-46.59276288,977,1.930855442,1.006249201,1
1754,-23.77736626,-46.53389521,290,2.875813535,1.714630778,3
1755,-23.77746343,-46.52408374,333,2.94258442,1.81542838,3
1756,-23.77755998,-46.51427222,115,3.809336761,1.590757448,4
1766,-23.77849121,-46.41615427,63,1.722133153,1.006823442,1
1821,-23.7647823,-46.85751395,74,2.374348579,1,2
1828,-23.76559297,-46.78885045,67,2.682353325,1.5208935,3
1835,-23.76637313,-46.72018395,1011,3.188552291,2.431931897,4
1836,-23.7664821,-46.71037422,2089,2.325529443,1.045192949,2
1837,-23.76659044,-46.70056442,1405,1.84007943,1.016209736,1
1838,-23.76669815,-46.69075457,863,1.674040758,1.02457399,1
1839,-23.76680525,-46.68094466,1080,2.416999002,1.005717996,2
1840,-23.76691172,-46.67113469,401,2.044841531,1.00435541,2
1846,-23.76753748,-46.6122737,230,2.148561326,1.129933339,2
1847,-23.76763959,-46.60246334,84,3.177866498,1.216812564,4
1848,-23.76774108,-46.59265292,251,3.646224381,1.163211242,4
1849,-23.76784195,-46.58284245,207,2.454843372,1.003737823,3
1850,-23.7679422,-46.57303193,55,2.882862982,1,3
1861,-23.7690038,-46.46511271,98,2.062947795,1.198066296,2
1866,-23.76946143,-46.41605649,84,2.594751651,1.0002683,3
1867,-23.76955109,-46.4062451,113,1.86002453,1.003800999,1
1925,-23.75622127,-46.81815258,89,1.85385502,1,1
1926,-23.75633641,-46.80834412,610,1.688701974,1.002051693,1
1927,-23.75645093,-46.7985356,310,1.956792677,1.008270674,1
1928,-23.75656482,-46.78872702,197,2.945798593,1.420180407,3
1935,-23.75734465,-46.72006525,381,4.128301757,3.245141197,4
1936,-23.75745357,-46.71025619,1121,3.558357995,1.535086673,4
1937,-23.75756186,-46.70044708,1720,2.101799408,1.044199226,2
1938,-23.75766954,-46.6906379,658,3.813457175,1.214346883,4
1939,-23.75777659,-46.68082866,2061,2.201468422,1.088219604,2
1940,-23.75788301,-46.67101937,1513,2.214285602,1.174305113,2
1941,-23.75798882,-46.66121002,200,2.311385324,1.017086025,2
1946,-23.7585085,-46.61216244,66,1.451376016,1,1
1947,-23.75861057,-46.60235275,1172,1.61164005,1.007058922,1
1948,-23.75871202,-46.59254301,161,2.624604508,1.76800162,3
1949,-23.75881285,-46.58273322,369,3.495089782,1.748941656,4
1950,-23.75891305,-46.57292337,375,2.62842056,1.497678151,3
1954,-23.75930764,-46.53368345,196,4.971349333,1.256661813,4
1961,-23.7599742,-46.46501159,108,3.007727005,1,3
1963,-23.76015904,-46.44539061,352,2.557003066,1.019764784,3
1966,-23.76043164,-46.41595876,68,1.801042016,1.002915829,1
1967,-23.76052126,-46.40614804,78,2.341312179,1.001731306,2
1968,-23.76061025,-46.39633728,437,3.005792155,1.011783651,3
2026,-23.74730835,-46.8082194,294,2.136115289,1.036564531,2
2027,-23.74742282,-46.79841155,1015,2.569222385,1.093186844,3
2028,-23.74753666,-46.78860365,372,2.135813922,1.014917874,2
2029,-23.74764989,-46.77879568,293,2.035257266,1.317324421,1
2031,-23.74787447,-46.75917956,107,1.357702565,1.127424711,1
2032,-23.74798583,-46.74937142,180,2.495290099,1.074902534,3
2036,-23.74842504,-46.71013823,1115,3.957014977,2.109831346,4
2037,-23.74853328,-46.70032979,3389,2.087478078,1.050360084,2
2038,-23.74864091,-46.69052129,1709,2.497022774,1.07004261,3
2039,-23.74874791,-46.68071273,1673,3.714046468,1.01064927,4
2040,-23.74885429,-46.67090411,1426,2.72692307,1.065266251,3
2041,-23.74896005,-46.66109544,807,3.792389022,1.773894475,4
2045,-23.74937687,-46.62186018,422,2.767195966,1.001468981,3
2046,-23.74947952,-46.61205123,741,5.007565317,1.007023696,4
2047,-23.74958155,-46.60224222,1096,2.421686388,1.230684849,2
2048,-23.74968295,-46.59243316,386,4.823387448,1.0549449,4
2049,-23.74978373,-46.58262404,592,2.458416549,1.295734907,3
2050,-23.74988389,-46.57281487,551,3.763641303,2.301790861,4
2052,-23.75008235,-46.55319637,2277,3.03052576,1.342646352,3
2053,-23.75018064,-46.54338704,180,5.624164445,1.409215384,4
2054,-23.75027831,-46.53357766,370,2.483567282,1.187692793,3
